Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 52.80    641.74   641.74     1344     0.48     0.66  spr_spread
 10.84    773.55   131.81   663303     0.00     0.00  spr_urbanize_nghbr
  6.81    856.28    82.73     6848     0.01     0.01  util_condition_gif
  5.88    927.75    71.47     1348     0.05     0.06  stats_compute_stats
  5.34    992.67    64.91     1344     0.05     0.13  delta_phase2
  3.68   1037.38    44.71 46005084533     0.00     0.00  igrid_GetNumCols
  3.30   1077.53    40.15 2619426100     0.00     0.00  util_count_neighbors
  3.03   1114.32    36.79 6338920924     0.00     0.00  igrid_GetNumRows
  2.59   1145.84    31.52     1347     0.02     0.02  util_count_pixels
  1.95   1169.54    23.69 4129874318     0.00     0.00  ran_random
  0.61   1176.98     7.44     1344     0.01     0.14  delta_deltatron
  0.61   1184.39     7.41     1408     0.01     0.01  util_init_grid
  0.55   1191.13     6.74 962828562     0.00     0.00  util_get_neighbor
  0.32   1195.03     3.90 2394137413     0.00     0.00  mem_GetTotalPixels
  0.31   1198.77     3.74                             mem_GetPackedBytesPerGrid
  0.22   1201.45     2.68 47817727     0.00     0.00  spr_urbanize
  0.18   1203.58     2.13       25     0.09     0.09  igrid_GetIGridCount
  0.15   1205.37     1.79       32     0.06    37.66  drv_driver
  0.14   1207.08     1.71     1344     0.00     0.07  stats_Update
  0.11   1208.40     1.32       64     0.02    18.79  grw_grow
  0.08   1209.41     1.01 188872425     0.00     0.00  gdImageGetPixel
  0.08   1210.39     0.98  1003761     0.00     0.00  util_get_next_neighbor
  0.06   1211.06     0.67       36     0.02     0.05  gdImageGif
  0.05   1211.71     0.65       32     0.02     0.02  util_img_intersection
  0.04   1212.17     0.46       32     0.01     0.08  gdif_WriteGIF
  0.04   1212.60     0.43       11     0.04     0.22  gdif_ReadGIF
  0.03   1213.02     0.42 236779162     0.00     0.00  gdImageBoundsSafe
  0.03   1213.42     0.40 47906737     0.00     0.00  gdImageSetPixel
  0.03   1213.81     0.39 47903647     0.00     0.00  LWZReadByte
  0.02   1214.03     0.22 140968836     0.00     0.00  GIFNextPixel
  0.02   1214.25     0.22       11     0.02     0.02  grid_SetMinMax
  0.02   1214.46     0.21       11     0.02     0.02  gdImageColorTransparent
  0.01   1214.64     0.18 276575092     0.00     0.00  landclass_GetNumLandclasses
  0.01   1214.80     0.16       11     0.01     0.01  grid_histogram
  0.01   1214.92     0.12     1344     0.00     0.00  landclass_GetUrbanCode
  0.01   1215.04     0.12       11     0.01     0.10  ReadImage
  0.01   1215.16     0.12        1     0.12     0.14  trans_Init
  0.01   1215.23     0.07  2518350     0.00     0.00  GetCode
  0.00   1215.28     0.05        1     0.05     0.05  igrid_NormalizeRoads
  0.00   1215.31     0.03     4032     0.00     0.00  util_copy_grid
  0.00   1215.33     0.02 11472948     0.00     0.00  stats_IncrementUrbanSuccess
  0.00   1215.35     0.02  3087241     0.00     0.00  output
  0.00   1215.37     0.02        1     0.02     1.13  mem_Init
  0.00   1215.39     0.02                             gdImageFill
  0.00   1215.40     0.01 30390258     0.00     0.00  stats_IncrementZFailure
  0.00   1215.41     0.01 28682068     0.00     0.00  landclass_GetNumReducedclasses
  0.00   1215.42     0.01  4343149     0.00     0.00  char_out
  0.00   1215.43     0.01     9580     0.00     0.00  timer_Stop
  0.00   1215.44     0.01     8074     0.00     0.00  mem_wgrid_push
  0.00   1215.44     0.00  3868007     0.00     0.00  stats_IncrementSlopeFailure
  0.00   1215.44     0.00  1680432     0.00     0.00  stats_IncrementDeltaFailure
  0.00   1215.44     0.00   729792     0.00     0.00  scen_GetCriticalSlope
  0.00   1215.44     0.00   406082     0.00     0.00  stats_IncrementEcludedFailure
  0.00   1215.44     0.00    17118     0.00     0.00  flush_char
  0.00   1215.44     0.00    14232     0.00     0.00  proc_GetCurrentYear
  0.00   1215.44     0.00    13943     0.00     0.00  GetDataBlock
  0.00   1215.44     0.00     9771     0.00     0.00  igrid_GridRelease
  0.00   1215.44     0.00     9580     0.00     0.00  timer_Start
  0.00   1215.44     0.00     9216     0.00     0.00  gdImageColorAllocate
  0.00   1215.44     0.00     8072     0.00     0.00  mem_GetWGridFree
  0.00   1215.44     0.00     8072     0.00     0.00  mem_GetWGridPtr
  0.00   1215.44     0.00     5003     0.00     0.00  proc_GetProcessingType
  0.00   1215.44     0.00     4696     0.00     0.00  proc_GetCurrentRun
  0.00   1215.44     0.00     4037     0.00     0.00  igrid_GetSlopeGridPtr
  0.00   1215.44     0.00     4032     0.00     0.00  coeff_GetCurrentSlopeResist
  0.00   1215.44     0.00     3004     0.00     0.00  scen_GetLogFlag
  0.00   1215.44     0.00     2912     0.00     0.00  pgrid_GetZPtr
  0.00   1215.44     0.00     2816     0.00     0.00  proc_GetStopYear
  0.00   1215.44     0.00     2688     0.00     0.00  coeff_GetCurrentBreed
  0.00   1215.44     0.00     2688     0.00     0.00  coeff_GetCurrentDiffusion
  0.00   1215.44     0.00     2688     0.00     0.00  coeff_GetCurrentRoadGravity
  0.00   1215.44     0.00     2688     0.00     0.00  coeff_GetCurrentSpread
  0.00   1215.44     0.00     2688     0.00     0.00  igrid_GetLanduseYear
  0.00   1215.44     0.00     2688     0.00     0.00  stats_SetSDG
  0.00   1215.44     0.00     1835     0.00     0.00  scen_GetLogFP
  0.00   1215.44     0.00     1833     0.00     0.00  proc_GetCurrentMonteCarlo
  0.00   1215.44     0.00     1691     0.00     0.00  scen_GetCriticalLow
  0.00   1215.44     0.00     1629     0.00     0.00  scen_CloseLog
  0.00   1215.44     0.00     1628     0.00     0.00  scen_Append2Log
  0.00   1215.44     0.00     1539     0.00     0.00  scen_GetDoingLanduseFlag
  0.00   1215.44     0.00     1412     0.00     0.00  igrid_GetUrbanGridPtr
  0.00   1215.44     0.00     1409     0.00     0.00  scen_GetEchoFlag
