Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 62.89    711.76   711.76     1344     0.53     0.61  spr_spread
  6.71    787.71    75.94     6848     0.01     0.01  util_condition_gif
  6.15    857.26    69.55     1348     0.05     0.06  stats_compute_stats
  5.63    921.01    63.75     1344     0.05     0.13  delta_phase2
  3.95    965.72    44.70 46005084533     0.00     0.00  igrid_GetNumCols
  3.49   1005.16    39.44 2619426100     0.00     0.00  util_count_neighbors
  3.27   1042.14    36.98 6338920924     0.00     0.00  igrid_GetNumRows
  2.12   1066.09    23.95     1347     0.02     0.02  util_count_pixels
  2.00   1088.69    22.60 4129874318     0.00     0.00  ran_random
  0.64   1095.97     7.28     1408     0.01     0.01  util_init_grid
  0.48   1101.40     5.43     1344     0.00     0.13  delta_deltatron
  0.47   1106.70     5.30 962828562     0.00     0.00  util_get_neighbor
  0.38   1110.99     4.29 2394137413     0.00     0.00  mem_GetTotalPixels
  0.34   1114.83     3.84                             mem_GetPackedBytesPerGrid
  0.24   1117.57     2.74 47817727     0.00     0.00  spr_urbanize
  0.17   1119.49     1.92       25     0.08     0.08  igrid_GetIGridCount
  0.16   1121.34     1.85       32     0.06    35.05  drv_driver
  0.16   1123.17     1.83     1344     0.00     0.07  stats_Update
  0.12   1124.56     1.39       64     0.02    17.49  grw_grow
  0.10   1125.65     1.09 188872425     0.00     0.00  gdImageGetPixel
  0.10   1126.73     1.08  1003761     0.00     0.00  util_get_next_neighbor
  0.07   1127.57     0.84       36     0.02     0.06  gdImageGif
  0.06   1128.21     0.64       32     0.02     0.02  util_img_intersection
  0.04   1128.68     0.47       11     0.04     0.20  gdif_ReadGIF
  0.04   1129.11     0.43       32     0.01     0.08  gdif_WriteGIF
  0.03   1129.46     0.35 47903647     0.00     0.00  LWZReadByte
  0.03   1129.77     0.31 236779162     0.00     0.00  gdImageBoundsSafe
  0.03   1130.08     0.31 47906737     0.00     0.00  gdImageSetPixel
  0.02   1130.33     0.25 140968836     0.00     0.00  GIFNextPixel
  0.02   1130.57     0.24       11     0.02     0.02  grid_SetMinMax
  0.02   1130.75     0.18       11     0.02     0.02  grid_histogram
  0.01   1130.91     0.16  2518350     0.00     0.00  GetCode
  0.01   1131.06     0.15     1344     0.00     0.00  landclass_GetUrbanCode
  0.01   1131.19     0.13       11     0.01     0.01  gdImageColorTransparent
  0.01   1131.30     0.11 276575092     0.00     0.00  landclass_GetNumLandclasses
  0.01   1131.41     0.11        1     0.11     0.13  trans_Init
  0.01   1131.50     0.09       11     0.01     0.09  ReadImage
  0.01   1131.56     0.06        1     0.06     0.06  igrid_NormalizeRoads
  0.01   1131.62     0.06                             gdImageFill
  0.00   1131.67     0.05  3087241     0.00     0.00  output
  0.00   1131.69     0.02 30390258     0.00     0.00  stats_IncrementZFailure
  0.00   1131.71     0.02        1     0.02     1.02  mem_Init
  0.00   1131.72     0.02 11472948     0.00     0.00  stats_IncrementUrbanSuccess
  0.00   1131.73     0.01 28682068     0.00     0.00  landclass_GetNumReducedclasses
  0.00   1131.74     0.01   663305     0.00     0.00  spr_urbanize_nghbr
  0.00   1131.75     0.01     8072     0.00     0.00  mem_GetWGridFree
  0.00   1131.76     0.01     4032     0.00     0.00  util_copy_grid
  0.00   1131.77     0.01                             mem_GetLogFP
  0.00   1131.78     0.01  4343149     0.00     0.00  char_out
  0.00   1131.78     0.01  3868007     0.00     0.00  stats_IncrementSlopeFailure
  0.00   1131.79     0.01  1680432     0.00     0.00  stats_IncrementDeltaFailure
  0.00   1131.79     0.01       64     0.00     0.00  stats_InitUrbanizationAttempts
  0.00   1131.79     0.00   729792     0.00     0.00  scen_GetCriticalSlope
  0.00   1131.79     0.00   406082     0.00     0.00  stats_IncrementEcludedFailure
  0.00   1131.79     0.00    17118     0.00     0.00  flush_char
  0.00   1131.79     0.00    14232     0.00     0.00  proc_GetCurrentYear
  0.00   1131.79     0.00    13943     0.00     0.00  GetDataBlock
  0.00   1131.79     0.00     9771     0.00     0.00  igrid_GridRelease
  0.00   1131.79     0.00     9580     0.00     0.00  timer_Start
  0.00   1131.79     0.00     9580     0.00     0.00  timer_Stop
  0.00   1131.79     0.00     9216     0.00     0.00  gdImageColorAllocate
  0.00   1131.79     0.00     8074     0.00     0.00  mem_wgrid_push
  0.00   1131.79     0.00     8072     0.00     0.00  mem_GetWGridPtr
  0.00   1131.79     0.00     5003     0.00     0.00  proc_GetProcessingType
  0.00   1131.79     0.00     4696     0.00     0.00  proc_GetCurrentRun
  0.00   1131.79     0.00     4037     0.00     0.00  igrid_GetSlopeGridPtr
  0.00   1131.79     0.00     4032     0.00     0.00  coeff_GetCurrentSlopeResist
  0.00   1131.79     0.00     3004     0.00     0.00  scen_GetLogFlag
  0.00   1131.79     0.00     2912     0.00     0.00  pgrid_GetZPtr
  0.00   1131.79     0.00     2816     0.00     0.00  proc_GetStopYear
  0.00   1131.79     0.00     2688     0.00     0.00  coeff_GetCurrentBreed
