Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00   1286.93     0.00     1408     0.00     0.00  scen_GetLogProcessingStatusFlag
  0.00   1286.93     0.00     1377     0.00     0.00  landclass_GetNewIndicesPtr
  0.00   1286.93     0.00     1376     0.00     0.00  trans_GetClassSlope
  0.00   1286.93     0.00     1376     0.00     0.00  trans_GetFTransition
  0.00   1286.93     0.00     1348     0.00     0.00  igrid_GetIGridExcludedPixelCount
  0.00   1286.93     0.00     1348     0.00     0.00  igrid_GetIGridRoadPixelCount
  0.00   1286.93     0.00     1347     0.00     0.00  scen_GetWriteCoeffFileFlag
  0.00   1286.93     0.00     1346     0.00     0.00  landclass_GetClassesPtr
  0.00   1286.93     0.00     1345     0.00     0.00  scen_GetViewDeltatronAgingFlag
  0.00   1286.93     0.00     1345     0.00     0.00  scen_GetViewGrowthTypesFlag
  0.00   1286.93     0.00     1344     0.00     0.00  coeff_SelfModication
  0.00   1286.93     0.00     1344     0.00     0.00  coeff_WriteCurrentCoeff
  0.00   1286.93     0.00     1344     0.00     0.00  igrid_GetBackgroundGridPtr
  0.00   1286.93     0.00     1344     0.00     0.00  igrid_GetExcludedGridPtr
  0.00   1286.93     0.00     1344     0.00     0.00  igrid_GetRoadGridPtrByYear
  0.00   1286.93     0.00     1344     0.00     0.00  igrid_TestForUrbanYear
  0.00   1286.93     0.00     1344     0.00     0.00  landclass_GetReducedClassesPtr
  0.00   1286.93     0.00     1344     0.00     0.00  pgrid_GetLand2Ptr
  0.00   1286.93     0.00     1344     0.00     0.00  proc_IncrementCurrentYear
  0.00   1286.93     0.00     1344     0.00     0.00  scen_GetCriticalHigh
  0.00   1286.93     0.00     1344     0.00     0.00  scen_GetLogSlopeWeightsFlag
  0.00   1286.93     0.00     1344     0.00     0.00  stats_GetGrowthRate
  0.00   1286.93     0.00     1344     0.00     0.00  stats_SetOG
  0.00   1286.93     0.00     1344     0.00     0.00  stats_SetPOP
  0.00   1286.93     0.00     1344     0.00     0.00  stats_SetRT
  0.00   1286.93     0.00     1344     0.00     0.00  stats_SetSNG
  0.00   1286.93     0.00     1266     0.00     0.00  scen_GetRdGrvtySensitivity
  0.00   1286.93     0.00     1266     0.00     0.00  scen_GetSlopeSensitivity
  0.00   1286.93     0.00     1153     0.00     0.00  scen_GetMonteCarloIterations
  0.00   1286.93     0.00     1041     0.00     0.00  scen_GetBust
  0.00   1286.93     0.00     1008     0.00     0.00  scen_GetBoom
  0.00   1286.93     0.00      823     0.00     0.00  cl_hash
  0.00   1286.93     0.00      416     0.00     0.00  util_trim
  0.00   1286.93     0.00      398     0.00     0.00  scen_GetOutputDir
  0.00   1286.93     0.00      391     0.00     0.00  igrid_GetUrbanCount
  0.00   1286.93     0.00      384     0.00     0.00  igrid_UrbanYear2Index
  0.00   1286.93     0.00      320     0.00     0.00  stats_linefit
  0.00   1286.93     0.00      257     0.00     0.00  proc_GetTotalRuns
  0.00   1286.93     0.00      216     0.00     0.00  Putword
  0.00   1286.93     0.00      194     0.00     0.00  out_write_restart_data
  0.00   1286.93     0.00      192     0.00     0.00  igrid_GetUrbanGridPtrByYear
  0.00   1286.93     0.00      192     0.00     0.00  stats_CalStdDev
  0.00   1286.93     0.00      192     0.00     0.00  stats_Save
  0.00   1286.93     0.00      165     0.00     0.00  igrid_GetUrbanYear
  0.00   1286.93     0.00      130     0.00     0.00  scen_GetWriteAvgFileFlag
  0.00   1286.93     0.00      130     0.00     0.00  scen_GetWriteStdDevFileFlag
  0.00   1286.93     0.00      126     0.00     0.00  timer_Format
  0.00   1286.93     0.00       98     0.00     0.00  igrid_GetLanduseGridPtr
  0.00   1286.93     0.00       96     0.00     0.00  coeff_GetSavedBreed
  0.00   1286.93     0.00       96     0.00     0.00  coeff_GetSavedDiffusion
  0.00   1286.93     0.00       96     0.00     0.00  coeff_GetSavedRoadGravity
  0.00   1286.93     0.00       96     0.00     0.00  coeff_GetSavedSlopeResist
  0.00   1286.93     0.00       96     0.00     0.00  coeff_GetSavedSpread
  0.00   1286.93     0.00       96     0.00     0.00  coeff_SetCurrentBreed
  0.00   1286.93     0.00       96     0.00     0.00  coeff_SetCurrentDiffusion
  0.00   1286.93     0.00       96     0.00     0.00  coeff_SetCurrentRoadGravity
  0.00   1286.93     0.00       96     0.00     0.00  coeff_SetCurrentSlopeResist
  0.00   1286.93     0.00       96     0.00     0.00  coeff_SetCurrentSpread
  0.00   1286.93     0.00       96     0.00     0.00  stats_CalAverages
  0.00   1286.93     0.00       96     0.00     0.00  stats_ProcessGrowLog
  0.00   1286.93     0.00       96     0.00     0.00  stats_WriteStatsValLine
  0.00   1286.93     0.00       84     0.00     0.00  gdImageChar
  0.00   1286.93     0.00       79     0.00     0.00  scen_GetLogWritesFlag
  0.00   1286.93     0.00       65     0.00     0.00  scen_GetRandomSeed
  0.00   1286.93     0.00       64     0.00     0.00  coeff_LogCurrent
  0.00   1286.93     0.00       64     0.00     0.00  proc_GetNumRunsExecThisCPU
  0.00   1286.93     0.00       64     0.00     0.00  proc_SetCurrentMonteCarlo
  0.00   1286.93     0.00       64     0.00     0.00  proc_SetCurrentYear
  0.00   1286.93     0.00       64     0.00     0.00  scen_GetLogCoeffFlag
  0.00   1286.93     0.00       64     0.00     0.00  scen_GetLogUrbanizationAttemptsFlag
  0.00   1286.93     0.00       64     0.00     0.00  stats_InitUrbanizationAttempts
  0.00   1286.93     0.00       64     0.00     0.00  stats_LogUrbanizationAttempts
  0.00   1286.93     0.00       64     0.00     0.00  timer_Read
  0.00   1286.93     0.00       51     0.00     0.00  coeff_GetStopRoadGravity
  0.00   1286.93     0.00       47     0.00     0.00  gdImageCreate
  0.00   1286.93     0.00       47     0.00     0.00  gdImageDestroy
  0.00   1286.93     0.00       34     0.00     0.00  coeff_GetStepRoadGravity
  0.00   1286.93     0.00       34     0.00     0.00  scen_process_user_color
  0.00   1286.93     0.00       33     0.00     0.00  scen_GetLogTimingsFlag
  0.00   1286.93     0.00       32     0.00     0.00  InitRandom
  0.00   1286.93     0.00       32     0.00     0.00  color_GetColortable
  0.00   1286.93     0.00       32     0.00     0.00  pgrid_GetCumulatePtr
  0.00   1286.93     0.00       32     0.00     0.00  pgrid_GetLand1Ptr
  0.00   1286.93     0.00       32     0.00     0.00  proc_IncrementCurrentRun
