Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 55.46    642.14   642.14     1344     0.48     0.65  spr_spread
 11.76    778.33   136.19   661410     0.00     0.00  spr_get_neighbor
  5.95    847.27    68.94     6848     0.01     0.01  util_condition_gif
  4.51    899.44    52.16     1344     0.04     0.11  delta_phase2
  3.96    945.29    45.85 47930112679     0.00     0.00  igrid_GetNumCols
  3.59    986.87    41.58     1348     0.03     0.04  stats_cluster
  3.40   1026.27    39.40 3161674516     0.00     0.00  util_count_neighbors
  2.94   1060.31    34.03 6316444575     0.00     0.00  igrid_GetNumRows
  1.99   1083.33    23.02     1347     0.02     0.02  util_count_pixels
  1.09   1095.99    12.66     1348     0.01     0.01  stats_edge
  1.06   1108.26    12.27 3554810508     0.00     0.00  ran_random
  0.97   1119.54    11.28     1348     0.01     0.01  stats_circle
  0.64   1126.97     7.43     1408     0.01     0.01  util_init_grid
  0.37   1131.24     4.27 2394137413     0.00     0.00  mem_GetTotalPixels
  0.32   1134.96     3.72                             mem_GetPackedBytesPerGrid
  0.31   1138.58     3.62 46552856     0.00     0.00  util_WriteZProbGrid
  0.24   1141.31     2.73 47828171     0.00     0.00  spr_urbanize
  0.20   1143.64     2.33     1344     0.00     0.11  delta_deltatron
  0.18   1145.78     2.14       13     0.16     0.16  igrid_GetIGridCount
  0.15   1147.50     1.72       32     0.05    35.87  drv_driver
  0.12   1148.94     1.44     1344     0.00     0.06  stats_Update
  0.11   1150.25     1.31       64     0.02    17.90  grw_grow
  0.10   1151.36     1.11  1008637     0.00     0.00  util_get_next_neighbor
  0.09   1152.40     1.04 140602322     0.00     0.00  util_get_neighbor
  0.07   1153.18     0.78 188872425     0.00     0.00  gdImageGetPixel
  0.06   1153.92     0.74       36     0.02     0.05  gdImageGif
  0.05   1154.55     0.63       32     0.02     0.02  util_img_intersection
  0.04   1155.06     0.51 236779162     0.00     0.00  gdImageBoundsSafe
  0.03   1155.46     0.40 47903647     0.00     0.00  LWZReadByte
  0.03   1155.86     0.40       32     0.01     0.07  gdif_WriteGIF
  0.03   1156.17     0.31 140968836     0.00     0.00  GIFNextPixel
  0.02   1156.43     0.26       11     0.02     0.18  gdif_ReadGIF
  0.02   1156.66     0.23       11     0.02     0.02  grid_SetMinMax
  0.02   1156.87     0.21 47906737     0.00     0.00  gdImageSetPixel
  0.02   1157.07     0.20       11     0.02     0.02  gdImageColorTransparent
  0.02   1157.25     0.18       11     0.02     0.02  grid_histogram
  0.01   1157.40     0.15        1     0.15     0.17  trans_Init
  0.01   1157.51     0.11       11     0.01     0.08  ReadImage
  0.01   1157.60     0.09  2518350     0.00     0.00  GetCode
  0.01   1157.68     0.08        1     0.08     2.22  mem_Init
  0.01   1157.74     0.06        1     0.06     0.06  igrid_NormalizeRoads
  0.00   1157.79     0.05 52718261     0.00     0.00  landclass_GetNumLandclasses
  0.00   1157.83     0.04 30401974     0.00     0.00  stats_IncrementZFailure
  0.00   1157.86     0.03                             gdImageFill
  0.00   1157.87     0.01 11470383     0.00     0.00  stats_IncrementUrbanSuccess
  0.00   1157.88     0.01  4341100     0.00     0.00  char_out
  0.00   1157.89     0.01  3866975     0.00     0.00  stats_IncrementSlopeFailure
  0.00   1157.90     0.01     1344     0.00     0.00  landclass_GetUrbanCode
  0.00   1157.91     0.01        4     0.00     0.06  gdif_WriteColorKey
  0.00   1157.91     0.00 28676602     0.00     0.00  landclass_GetNumReducedclasses
  0.00   1157.91     0.00  3085756     0.00     0.00  output
  0.00   1157.91     0.00  1683347     0.00     0.00  stats_IncrementDeltaFailure
  0.00   1157.91     0.00   405492     0.00     0.00  stats_IncrementEcludedFailure
  0.00   1157.91     0.00   384384     0.00     0.00  scen_GetCriticalSlope
  0.00   1157.91     0.00    17110     0.00     0.00  flush_char
  0.00   1157.91     0.00    13943     0.00     0.00  GetDataBlock
  0.00   1157.91     0.00    12888     0.00     0.00  proc_GetCurrentYear
  0.00   1157.91     0.00     9771     0.00     0.00  igrid_GridRelease
  0.00   1157.91     0.00     9580     0.00     0.00  timer_Start
  0.00   1157.91     0.00     9580     0.00     0.00  timer_Stop
  0.00   1157.91     0.00     9216     0.00     0.00  gdImageColorAllocate
  0.00   1157.91     0.00     8082     0.00     0.00  mem_wgrid_push
  0.00   1157.91     0.00     8072     0.00     0.00  mem_GetWGridFree
  0.00   1157.91     0.00     8072     0.00     0.00  mem_GetWGridPtr
  0.00   1157.91     0.00     5002     0.00     0.00  proc_GetProcessingType
  0.00   1157.91     0.00     4037     0.00     0.00  igrid_GetSlopeGridPtr
  0.00   1157.91     0.00     4032     0.00     0.00  util_copy_grid
  0.00   1157.91     0.00     3288     0.00     0.00  proc_GetCurrentRun
  0.00   1157.91     0.00     3004     0.00     0.00  scen_GetLogFlag
  0.00   1157.91     0.00     2912     0.00     0.00  pgrid_GetZPtr
  0.00   1157.91     0.00     2816     0.00     0.00  proc_GetStopYear
  0.00   1157.91     0.00     2688     0.00     0.00  coeff_GetCurrentBreed
  0.00   1157.91     0.00     2688     0.00     0.00  coeff_GetCurrentDiffusion
  0.00   1157.91     0.00     2688     0.00     0.00  coeff_GetCurrentRoadGravity
