Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
  0.00   1103.45     0.00     1348     0.00     0.00  igrid_GetIGridExcludedPixelCount
  0.00   1103.45     0.00     1348     0.00     0.00  igrid_GetIGridRoadPixelCount
  0.00   1103.45     0.00     1347     0.00     0.00  scen_GetWriteCoeffFileFlag
  0.00   1103.45     0.00     1346     0.00     0.00  landclass_GetClassesPtr
  0.00   1103.45     0.00     1345     0.00     0.00  scen_GetViewDeltatronAgingFlag
  0.00   1103.45     0.00     1345     0.00     0.00  scen_GetViewGrowthTypesFlag
  0.00   1103.45     0.00     1344     0.00     0.00  coeff_SelfModication
  0.00   1103.45     0.00     1344     0.00     0.00  coeff_WriteCurrentCoeff
  0.00   1103.45     0.00     1344     0.00     0.00  igrid_GetBackgroundGridPtr
  0.00   1103.45     0.00     1344     0.00     0.00  igrid_GetExcludedGridPtr
  0.00   1103.45     0.00     1344     0.00     0.00  igrid_GetRoadGridPtrByYear
  0.00   1103.45     0.00     1344     0.00     0.00  igrid_TestForUrbanYear
  0.00   1103.45     0.00     1344     0.00     0.00  landclass_GetReducedClassesPtr
  0.00   1103.45     0.00     1344     0.00     0.00  pgrid_GetLand2Ptr
  0.00   1103.45     0.00     1344     0.00     0.00  proc_IncrementCurrentYear
  0.00   1103.45     0.00     1344     0.00     0.00  scen_GetCriticalHigh
  0.00   1103.45     0.00     1344     0.00     0.00  scen_GetLogSlopeWeightsFlag
  0.00   1103.45     0.00     1344     0.00     0.00  stats_GetGrowthRate
  0.00   1103.45     0.00     1344     0.00     0.00  stats_GetPercentUrban
  0.00   1103.45     0.00     1344     0.00     0.00  stats_SetOG
  0.00   1103.45     0.00     1344     0.00     0.00  stats_SetPOP
  0.00   1103.45     0.00     1344     0.00     0.00  stats_SetRT
  0.00   1103.45     0.00     1344     0.00     0.00  stats_SetSNG
  0.00   1103.45     0.00     1266     0.00     0.00  scen_GetRdGrvtySensitivity
  0.00   1103.45     0.00     1266     0.00     0.00  scen_GetSlopeSensitivity
  0.00   1103.45     0.00     1153     0.00     0.00  scen_GetMonteCarloIterations
  0.00   1103.45     0.00     1041     0.00     0.00  scen_GetBust
  0.00   1103.45     0.00     1008     0.00     0.00  scen_GetBoom
  0.00   1103.45     0.00      823     0.00     0.00  cl_hash
  0.00   1103.45     0.00      416     0.00     0.00  util_trim
  0.00   1103.45     0.00      398     0.00     0.00  scen_GetOutputDir
  0.00   1103.45     0.00      391     0.00     0.00  igrid_GetUrbanCount
  0.00   1103.45     0.00      384     0.00     0.00  igrid_UrbanYear2Index
  0.00   1103.45     0.00      320     0.00     0.00  stats_linefit
  0.00   1103.45     0.00      257     0.00     0.00  proc_GetTotalRuns
  0.00   1103.45     0.00      216     0.00     0.00  Putword
  0.00   1103.45     0.00      194     0.00     0.00  out_write_restart_data
  0.00   1103.45     0.00      192     0.00     0.00  igrid_GetUrbanGridPtrByYear
  0.00   1103.45     0.00      192     0.00     0.00  stats_CalStdDev
  0.00   1103.45     0.00      192     0.00     0.00  stats_Save
  0.00   1103.45     0.00      165     0.00     0.00  igrid_GetUrbanYear
  0.00   1103.45     0.00      130     0.00     0.00  scen_GetWriteAvgFileFlag
  0.00   1103.45     0.00      130     0.00     0.00  scen_GetWriteStdDevFileFlag
  0.00   1103.45     0.00      126     0.00     0.00  timer_Format
  0.00   1103.45     0.00       98     0.00     0.00  igrid_GetLanduseGridPtr
