Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 61.31    676.14   676.14     1344     0.50     0.58  spr_spread
  7.00    753.31    77.16     6848     0.01     0.01  util_condition_gif
  6.33    823.15    69.84     1348     0.05     0.06  stats_compute_stats
  6.09    890.36    67.21     1344     0.05     0.13  delta_phase2
  4.07    935.20    44.84 45986276698     0.00     0.00  igrid_GetNumCols
  3.59    974.85    39.64 2619426100     0.00     0.00  util_count_neighbors
  3.44   1012.76    37.91 6332585683     0.00     0.00  igrid_GetNumRows
  2.16   1036.55    23.79     1347     0.02     0.02  util_count_pixels
  1.99   1058.51    21.96 4129874318     0.00     0.00  ran_random
  0.70   1066.22     7.71     1408     0.01     0.01  util_init_grid
  0.51   1071.79     5.57 962828562     0.00     0.00  util_get_neighbor
  0.46   1076.82     5.03     1344     0.00     0.14  delta_deltatron
  0.38   1080.99     4.17 2394137413     0.00     0.00  mem_GetTotalPixels
  0.34   1084.71     3.72                             mem_GetPackedBytesPerGrid
  0.27   1087.72     3.01 47817727     0.00     0.00  spr_urbanize
  0.20   1089.92     2.20       25     0.09     0.09  igrid_GetIGridCount
  0.17   1091.83     1.91       32     0.06    34.14  drv_driver
  0.17   1093.74     1.91     1344     0.00     0.07  stats_Update
  0.12   1095.08     1.34       64     0.02    17.03  grw_grow
  0.10   1096.17     1.09  1003761     0.00     0.00  util_get_next_neighbor
  0.09   1097.14     0.97 188872425     0.00     0.00  gdImageGetPixel
  0.06   1097.85     0.71       36     0.02     0.05  gdImageGif
  0.06   1098.52     0.67       32     0.02     0.02  util_img_intersection
  0.04   1099.00     0.48       32     0.02     0.08  gdif_WriteGIF
  0.04   1099.43     0.43 46155512     0.00     0.00  util_copy_grid
  0.04   1099.85     0.42 47903647     0.00     0.00  LWZReadByte
  0.04   1100.27     0.42       11     0.04     0.21  gdif_ReadGIF
  0.04   1100.67     0.40 47906737     0.00     0.00  gdImageSetPixel
  0.03   1100.97     0.30 236779162     0.00     0.00  gdImageBoundsSafe
  0.02   1101.22     0.25 140968836     0.00     0.00  GIFNextPixel
  0.02   1101.45     0.23       11     0.02     0.02  grid_SetMinMax
  0.02   1101.63     0.18       11     0.02     0.02  gdImageColorTransparent
  0.02   1101.81     0.18       11     0.02     0.02  grid_histogram
  0.01   1101.97     0.16 276575092     0.00     0.00  landclass_GetNumLandclasses
  0.01   1102.12     0.15  2518350     0.00     0.00  GetCode
  0.01   1102.27     0.15        1     0.15     0.17  trans_Init
  0.01   1102.40     0.13     1344     0.00     0.00  landclass_GetUrbanCode
  0.01   1102.49     0.09                             gdImageFill
  0.01   1102.56     0.07       11     0.01     0.10  ReadImage
  0.01   1102.62     0.06  3087241     0.00     0.00  output
