Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00   1313.49     0.00     1377     0.00     0.00  landclass_GetNewIndicesPtr
  0.00   1313.49     0.00     1376     0.00     0.00  trans_GetClassSlope
  0.00   1313.49     0.00     1376     0.00     0.00  trans_GetFTransition
  0.00   1313.49     0.00     1348     0.00     0.00  igrid_GetIGridExcludedPixelCount
  0.00   1313.49     0.00     1348     0.00     0.00  igrid_GetIGridRoadPixelCount
  0.00   1313.49     0.00     1347     0.00     0.00  scen_GetWriteCoeffFileFlag
  0.00   1313.49     0.00     1346     0.00     0.00  landclass_GetClassesPtr
  0.00   1313.49     0.00     1345     0.00     0.00  scen_GetViewDeltatronAgingFlag
  0.00   1313.49     0.00     1345     0.00     0.00  scen_GetViewGrowthTypesFlag
  0.00   1313.49     0.00     1344     0.00     0.00  coeff_SelfModication
  0.00   1313.49     0.00     1344     0.00     0.00  coeff_WriteCurrentCoeff
  0.00   1313.49     0.00     1344     0.00     0.00  igrid_GetBackgroundGridPtr
  0.00   1313.49     0.00     1344     0.00     0.00  igrid_GetExcludedGridPtr
  0.00   1313.49     0.00     1344     0.00     0.00  igrid_GetRoadGridPtrByYear
  0.00   1313.49     0.00     1344     0.00     0.00  igrid_TestForUrbanYear
  0.00   1313.49     0.00     1344     0.00     0.00  landclass_GetReducedClassesPtr
  0.00   1313.49     0.00     1344     0.00     0.00  pgrid_GetLand2Ptr
  0.00   1313.49     0.00     1344     0.00     0.00  proc_IncrementCurrentYear
  0.00   1313.49     0.00     1344     0.00     0.00  scen_GetLogSlopeWeightsFlag
  0.00   1313.49     0.00     1344     0.00     0.00  stats_GetGrowthRate
  0.00   1313.49     0.00     1344     0.00     0.00  stats_GetPercentUrban
  0.00   1313.49     0.00     1344     0.00     0.00  stats_SetOG
  0.00   1313.49     0.00     1344     0.00     0.00  stats_SetPOP
  0.00   1313.49     0.00     1344     0.00     0.00  stats_SetRT
  0.00   1313.49     0.00     1344     0.00     0.00  stats_SetSNG
  0.00   1313.49     0.00     1266     0.00     0.00  scen_GetRdGrvtySensitivity
  0.00   1313.49     0.00     1266     0.00     0.00  scen_GetSlopeSensitivity
  0.00   1313.49     0.00     1153     0.00     0.00  scen_GetMonteCarloIterations
